#date rev tag size python ansic sh sloc manyears years dollars
2005-01-03 32 0.2 275463 1853 * * 1853 0.38 0.37 51631
2005-12-09 59 0.2.2 442581 3408 * * 3408 0.72 0.47 97896
2006-04-15 95 0.3 505049 4450 * 28 4478 0.97 0.53 130401
2006-09-20 136 0.3.1 535373 4727 * 44 4771 1.03 0.54 139374
2006-11-03 155 0.4 1139062 8021 * 36 8057 1.79 0.67 241615
2006-12-15 172 0.4.1 1235888 9136 * 41 9177 2.05 0.70 276998
2007-04-25 240 0.4.2 1426285 10573 * 71 10656 2.40 0.75 324053
2007-08-10 354 0.5 1125063 12933 * 17 12950 2.94 0.81 397672
2007-11-16 460 0.6 1798747 15318 * 17 15335 3.52 0.86 474908
2008-04-04 607 0.7 1248997 18896 300 18 19214 4.45 0.94 601784
2008-05-24 708 0.7.1 1194746 20334 733 42 21109 4.92 0.98 664252
2008-09-23 805 0.7.2 1222304 21962 780 42 22784 5.33 1.01 719703
2008-12-30 877 0.7.3 1290960 22940 780 42 23762 5.57 1.03 752175
2009-06-13 1045 0.8 1510273 25062 4258 191 29511 6.99 1.12 944332
2009-12-09 1254 0.8.1 2094469 	 26984 4340 186 31714 7.54 1.15 1018486
2010-06-05 1498 0.8.2 2222844	 31355 5207 192 36914 8.84 1.23 1194517
