#date rev tag size python ansic sh sloc manyears years dollars
2005-01-03 32 0.2 275463 1853 * * 1853 0.38 0.37 51631
2005-12-09 59 0.2.2 442581 3408 * * 3408 0.72 0.47 97896
2006-04-15 95 0.3 505049 4450 * 28 4478 0.97 0.53 130401
2006-09-20 136 0.3.1 535373 4450 * 28 4478 0.97 0.53 130401
2006-11-03 155 0.4 1139062 5931 * 36 5967 1.30 0.59 176273
2006-12-15 172 0.4.1 1235888 6717 * 41 6758 1.49 0.62 200886
2007-04-25 240 0.4.2 1426285 8003 * 71 8086 1.80 0.67 242528
2007-08-10 354 0.5 1125063 10032 * 78 10122 2.27 0.73 307023
2007-11-16 460 0.6 1798747 12357 * 132 12517 2.84 0.80 383722
2008-04-04 607 0.7 1248997 16182 626 138 16974 3.91 0.90 528342
2008-05-24 708 0.7.1 1194746 18035 733 151 18947 4.39 0.94 593006
2008-09-23 805 0.7.2 1222304 19502 780 151 20461 4.76 0.97 642858
2008-12-30 877 0.7.3 1290960 20400 780 159 21367 4.98 0.99 672779
2009-06-13 1045 0.8 1510273 22730 4258 255 27271 6.43 1.09 869216
2009-12-09 1254 0.8.1 2094469 	 25492 4340 254 30223 7.17 1.13 968269
2010-06-05 1498 0.8.2 2222844	 29519 5207 260 35101 8.39 1.20 1132993
2010-12-05 1716 0.8.3 2359437	 31383 5207 347 37052 8.88 1.23 1199206
2011-07-09 1995 0.8.4 2780652	 33772 5694 352 39934 9.60 1.27 1297333
2011-12-05 2115 0.8.5 2503591	 34041 6367 396 41137 9.91 1.28 1338400
2012-01-16 2151 0.8.6 2483510	 34813 6367 314 41827 10.08 1.29 1361981
2012-11-04 2543 0.8.8 3146271	 41815 7274 279 49709 12.09 1.38 1632670
